resource,technology,location,contract,period,planned_installed_capacity,energy,capacity factor,,,,Capacity,,,,,,,Energy,,,
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2030,1912.40555,12521.47522,0.7474315,,,Post-script,2016,2020,2025,2030,,,Post-script,2016,2020,2025,2030
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2020,1512.771399,4998.093432,0.377161157,,,Geothermal,1895.47555,1902.80555,1822.40555,2041.40555,,,Geothermal,12783.50934,13180.5087,13184.41987,13233.16227
Contracted_NW_Wind,Wind,NW,CAISO,2025,3529.461261,8697.78546,0.281317122,,,Hydro,1454.669399,1512.771399,1441.896399,1448.533899,,,Hydro,4983.29948,4998.093432,4998.762248,4998.537314
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2020,129,711.687051,0.629789256,,,Wind,10443.49083,10835.88634,11037.52646,12465.12203,,,Wind,24480.51234,27500.15324,27643.73006,30347.38868
Tehachapi_Wind,Wind,CAISO,CAISO,2030,163.8,483.4123176,0.33689899,,,Biomass,1228.8176,1321.2976,1214.7776,1222.5576,,,Biomass,8735.523054,8641.239681,8645.79132,8645.702461
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2030,1448.533899,4998.537314,0.393921939,,,Solar,9472.634008,11674.96108,14246.15522,19528.20107,,,Solar,18416.57342,27088.334,34519.41422,48107.41265
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2020,1240.698,8159.667481,0.750761983,,,,,,,,,,,,,,
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2025,1134.178,8164.21912,0.821730349,,,Biogas,256.5996667,332.2996667,332.2996667,332.2996667,,,Biogas,1842.178575,1801.935343,1801.935343,1801.935343
Tehachapi_Solar,Solar,CAISO,CAISO,2030,2769.2856,8148.951089,0.335915356,,,Biomass,680.69,719.09,768.99,768.99,,,Biomass,4395.252723,4295.252723,4649.302723,4649.302723
Central_Valley_North_Los_Banos_Wind,Wind,CAISO,CAISO,2030,127.06,327.9922774,0.29468,,,Geothermal,1582.36955,1458.66955,1458.66955,1422.66955,,,Geothermal,11463.02426,10740.75193,10578.10158,10316.52074
Contracted_NW_Biomass,Biomass,NW,CAISO,2016,80.5996,481.5722,0.682062882,,,Hydro,990.0516468,1010.901647,1010.901647,987.1016468,,,Hydro,3984.550477,3999.686121,3999.68612,3999.686121
Riverside_East_Palm_Springs_Solar,Solar,CAISO,CAISO,2030,2567.92,7640.988291,0.339675277,,,Solar PV,7705.898008,9843.22508,12494.41922,17728.66507,,,Solar PV,15169.15344,23839.62943,31287.45094,44891.29884
Contracted_NW_Wind,Wind,NW,CAISO,2020,3619.56863,9333.684956,0.294369097,,,Solar Thermal,1217.36,1202.36,1202.36,1202.36,,,Solar Thermal,2735.595,2751.495,2751.495,2751.495
Contracted_InState_Wind,Wind,CAISO,CAISO,2030,6418.4152,15584.21677,0.277174368,,,Wind,8179.590931,8775.311437,8779.278931,10116.09713,,,Wind,19920.97307,22939.21909,23084.33075,26060.60722
Northern_California_Wind,Wind,CAISO,CAISO,2030,34.9142,88.13357851,0.288161,,,,,,,,,,,,,,
Greater_Imperial_Wind,Wind,CAISO,CAISO,2020,283.9805067,898.4895294,0.361177248,,,,,,,,,,,,,,
Contracted_SW_Solar,Solar,SW,CAISO,2016,1240,2131.659503,0.196242037,,,RPS Calc,,,,,,,RPS Calc,,,,
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2025,129,711.687051,0.629789256,,,Geothermal,1582.36955,1458.66955,1458.66955,1422.66955,,,Geothermal,11463.02426,10740.75193,10578.10158,10316.52074
Mountain_Pass_El_Dorado_Solar,Solar,CAISO,CAISO,2025,242.76,729.8840705,0.34322005,,,Hydro,990.0516468,1010.901647,1010.901647,987.1016468,,,Hydro,3984.550477,3999.686121,3999.68612,3999.686121
Tehachapi_Wind,Wind,CAISO,CAISO,2025,163.8,483.4123176,0.33689899,,,Wind,8179.590931,8775.311437,8779.278931,10116.09713,,,Wind,19920.97307,22939.21909,23084.33075,26060.60722
Contracted_NW_Biomass,Biomass,NW,CAISO,2025,80.5996,481.5721999,0.682062882,,,Biomass,937.2896667,1051.389667,1101.289667,1101.289667,,,Biomass,6237.431298,6097.188066,6451.238066,6451.238066
