Index,Category,Project ID,Project Name,State,County,Electrical Area (CREZ),Latitude,Longitude,LCR Area,Technology,Subtechnology,Type,Contract Start Date,Contract End Date,Eligible for Recontr?,Product Content Category,CAISO,Bundled,Deliverability Type,PG&E,SCE,SDG&E,Other CAISO,NonCAISO,Contract Capacity,Annual Energy,Capacity Factor,Technology Index,ELCC Profile,Energy Value Profile,Losses,Degradation,Risk Adjustment,Unit Cost
1,1,PG10009,Monterey Regional Water,CA,Monterey,Monterey County (Partial),36.705827,-121.768777,,Biogas,Distributed,Existing,8/26/1988,12/31/2099,1,0,1,1,1,1,0,0,0,0,1.74,0.24,0.015745552,1,Baseload,Baseload,0,0,1,59.36561834
2,1,PG10015,City Of Watsonville,CA,Santa Cruz,Santa Cruz County,36.886167,-121.786127,,Biogas,Distributed,Existing,1/23/1993,1/22/2023,1,0,1,1,1,1,0,0,0,0,0.55,0.07,0.01452885,1,Baseload,Baseload,0,0,1,59.36561834
3,1,PG10020,Clover Flat LFG,CA,Napa,Sacramento River,38.57618398,-122.5302103,,Biogas,Distributed,Existing,7/7/2014,7/6/2024,1,1,1,1,1,1,0,0,0,0,0.848,5.747,0.773644137,1,Baseload,Baseload,0,0,1,59.36561834
4,1,PG1013,Gas Recovery Sys. (American Cyn),CA,Napa,Sacramento River,38.174918,-122.260804,,Biogas,Distributed,Existing,2/4/1986,2/3/2016,1,0,1,1,1,1,0,0,0,0,1.5,7.785,0.592465753,1,Baseload,Baseload,0,0,1,59.36561834
5,1,PG1016,Gas Recovery Sys. (Newby Island 2),CA,Santa Clara,Santa Clara County,37.454158,-121.928855,,Biogas,Distributed,Existing,9/1/1984,8/2/2014,1,0,1,1,1,1,0,0,0,0,4.2,25.952,0.705370733,1,Baseload,Baseload,0,0,1,59.36561834
6,1,PG1024,Waste Management Renewable Energy,CA,Alameda,Solano,37.748526,-121.649871,,Biogas,Distributed,Existing,5/4/1989,12/31/2099,1,0,1,1,1,1,0,0,0,0,13.2,44.407,0.384037291,1,Baseload,Baseload,0,0,1,59.36561834
7,1,PG1025,Toro SLO Landfill,CA,San Luis Obispo,Cuyama,35.199825,-120.607381,,Biogas,Distributed,Existing,7/21/2013,7/20/2033,1,1,1,1,1,1,0,0,0,0,1.5,11.2,0.852359209,1,Baseload,Baseload,0,0,1,59.36561834
8,1,PG1029,Blake's Landing - 80kW Generator,CA,Marin,Marin County,38.16703,-122.893108,,Biogas,Distributed,Existing,11/2/2010,11/1/2020,1,1,1,1,1,1,0,0,0,0,0.08,0.6,0.856164384,1,Baseload,Baseload,0,0,1,59.36561834
9,1,PG1030,Castelanelli Bros. Biogas,CA,San Joaquin,Solano,38.0866,-121.32,,Biogas,Distributed,Existing,6/17/2009,6/16/2019,1,0,1,1,1,1,0,0,0,0,0.3,1.3,0.494672755,1,Baseload,Baseload,0,0,1,59.36561834
10,1,PG1031,Santa Maria II,CA,Santa Barbara,Santa Barbara,34.9482,-120.38,,Biogas,Distributed,Existing,9/13/2010,9/12/2025,1,0,1,1,1,1,0,0,0,0,1.42,12.439,0.999983922,1,Baseload,Baseload,0,0,1,59.36561834
11,1,PG1034,ABEC Bidart-Old River LLC,CA,Kern,Westlands,35.1696,-119.1056,,Biogas,Distributed,Existing,3/10/2014,3/9/2029,1,1,1,1,1,1,0,0,0,0,1.84,12.95,0.803429621,1,Baseload,Baseload,0,0,1,59.36561834
12,1,PG1035,ABEC Bidart-Stockdale LLC,CA,Kern,Westlands,35.3548,-119.2894,,Biogas,Distributed,Existing,4/6/2013,9/11/2023,1,1,1,1,1,1,0,0,0,0,0.6,1.4,0.266362253,1,Baseload,Baseload,0,0,1,59.36561834
13,2,PG1046,Potrero Hills Landfill,CA,Solano,Solano,38.215,-121.9845,,Biogas,Distributed,New,2/15/2016,2/14/2041,1,0,1,1,1,1,0,0,0,0,8,56.1,0.800513699,1,Baseload,Baseload,0,0,0.84,161.5077599
14,1,PG1049,Sunshine Landfill,CA,Los Angeles,Fairmont,34.335,-118.519,,Biogas,Distributed,Existing,9/1/2014,8/31/2034,1,0,1,1,1,1,0,0,0,0,18.96,132.87,0.799989885,1,Baseload,Baseload,0,0,1,59.36561834
15,1,PG2000,Eel River Power LLC,CA,Humboldt,Humboldt County,40.48,-124.104,,Biomass,Large,Existing,10/1/2011,12/31/2099,1,0,1,1,1,1,0,0,0,0,28.8,113.674,0.450572362,3,Baseload,Baseload,0,0,1,97.26597005
16,1,PG20008,Sierra Pacific Ind. (Burney),CA,Shasta,Round Mountain - B,40.876365,-121.701786,,Biomass,Large,Existing,1/1/1987,9/8/2015,1,0,1,1,1,1,0,0,0,0,20,85.089,0.485667808,3,Baseload,Baseload,0,0,1,97.26597005
17,1,PG20009,Sierra Pacific Ind. (Quincy),CA,Plumas,Plumas County,39.9398119,-120.9131504,,Biomass,Large,Existing,3/5/1987,9/8/2015,1,0,1,1,1,1,0,0,0,0,20,130.721,0.746124429,3,Baseload,Baseload,0,0,1,97.26597005
18,1,PG2001,Burney Forest Products,CA,Shasta,Round Mountain - B,40.879597,-121.721073,,Biomass,Large,Existing,1/3/1990,1/2/2020,1,0,1,1,1,1,0,0,0,0,31,212.555,0.782718368,3,Baseload,Baseload,0,0,1,97.26597005
19,1,PG20011,Sierra Pacific Ind. (Lincoln),CA,Placer,Placer County (Partial),38.8703314,-121.2990296,,Biomass,Large,Existing,1/28/1987,9/8/2015,1,0,1,1,1,1,0,0,0,0,7.5,61.766,0.940121766,3,Baseload,Baseload,0,0,1,97.26597005
20,1,PG20012,Sierra Pacific Ind. (Anderson),CA,Shasta,Round Mountain - B,40.473102,-122.323283,,Biomass,Large,Existing,2/1/1998,9/8/2015,1,0,1,1,1,1,0,0,0,0,5,1.661,0.037922374,3,Baseload,Baseload,0,0,1,97.26597005
21,1,PG20015,Sierra Pacific Ind.(Sonora),CA,Tuolumne,Tuolumne County,37.9614539,-120.317582,,Biomass,Large,Existing,1/1/2009,9/8/2015,1,0,1,1,1,1,0,0,0,0,7.5,12.113,0.184368341,3,Baseload,Baseload,0,0,1,97.26597005
22,1,PG2002,Collins Pine,CA,Plumas,Plumas County,40.304494,-121.233553,,Biomass,Large,Existing,5/13/1986,5/12/2016,1,0,1,1,1,1,0,0,0,0,12,27.909,0.265496575,3,Baseload,Baseload,0,0,1,97.26597005
23,1,PG2003,Covanta Mendota L. P.,CA,Fresno,Westlands,36.755837,-120.365292,,Biomass,Large,Existing,1/15/1990,1/14/2015,1,0,1,1,1,1,0,0,0,0,25,169.974,0.776136986,3,Baseload,Baseload,0,0,1,97.26597005
24,1,PG2004,DG Fairhaven Power LLC,CA,Humboldt,Humboldt County,40.798924,-124.203595,,Biomass,Large,Existing,2/3/1987,2/2/2017,1,0,1,1,1,1,0,0,0,0,17.25,102.661,0.67937926,3,Baseload,Baseload,0,0,1,97.26597005
25,1,PG2006,Woodland Biomass,CA,Yolo,Sacramento River,38.679,-121.773,,Biomass,Large,Existing,3/1/2010,2/29/2020,1,0,1,1,1,1,0,0,0,0,25,175,0.799086758,3,Baseload,Baseload,0,0,1,97.26597005
26,1,PG2007,HL Power,CA,Lassen,Lassen North,40.353666,-120.215891,,Biomass,Large,Existing,9/16/1989,9/15/2019,1,0,0,1,1,1,0,0,0,0,32,166.019,0.592248145,3,Baseload,Baseload,0,0,1,97.26597005
27,1,PG2012,Pacific-Ultrapower Chinese Station,CA,Tuolumne,Tuolumne County,37.877191,-120.473588,,Biomass,Large,Existing,1/24/1987,1/23/2017,1,0,1,1,1,1,0,0,0,0,22,127.398,0.661052304,3,Baseload,Baseload,0,0,1,97.26597005
28,1,PG2014,Rio Bravo Fresno,CA,Fresno,Westlands,36.6877841,-119.7270327,,Biomass,Large,Existing,2/13/1989,2/12/2019,1,0,1,1,1,1,0,0,0,0,26.5,170.282,0.73353149,3,Baseload,Baseload,0,0,1,97.26597005
29,1,PG2015,Rio Bravo Rocklin,CA,Placer,Placer County (Partial),38.831706,-121.3133,,Biomass,Large,Existing,3/17/1990,3/16/2020,1,0,1,1,1,1,0,0,0,0,25,168.097,0.76756621,3,Baseload,Baseload,0,0,1,97.26597005
30,1,PG2022,Thermal Energy Dev. Corp.,CA,San Joaquin,Solano,37.720899,-121.49051,,Biomass,Large,Existing,5/31/1990,5/30/2020,1,0,1,1,1,1,0,0,0,0,21,142.518,0.774722766,3,Baseload,Baseload,0,0,1,97.26597005
31,1,PG2025,Wheelabrator Shasta,CA,Shasta,Round Mountain - B,40.428259,-122.275478,,Biomass,Large,Existing,5/1/1988,4/30/2018,1,0,1,1,1,1,0,0,0,0,54.9,388.822,0.808489491,3,Baseload,Baseload,0,0,1,97.26597005
32,1,PG2026,Wadham Energy LP,CA,Colusa,Sacramento River,39.1067,-122.109722,,Biomass,Large,Existing,6/1/2008,5/31/2018,1,0,1,1,1,1,0,0,0,0,26.5,141,0.607392091,3,Baseload,Baseload,0,0,1,97.26597005
33,1,PG2027,Sierra Pacific Industries (SPI) REC Purchase Amended & Restated,CA,Multiple,NonCREZ,Multiple,Multiple,,Biomass,Large,Existing,2/15/2013,2/14/2018,1,0,1,0,1,1,0,0,0,0,0,100,0,3,Baseload,Baseload,0,0,1,97.26597005
34,1,PG2029,Mt. Poso,CA,Kern,Westlands,35.57639,-119.0062,,Biomass,Large,Existing,2/21/2012,2/20/2027,1,0,1,1,1,1,0,0,0,0,44,234.76554,0.609084527,3,Baseload,Baseload,0,0,1,97.26597005
