resource,technology,location,contract,period,planned_installed_capacity,energy,capacity factor,scaled_down_capacity
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2030,1357.66955,9862.407924,0.829248659,1305.325218
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2020,1010.901647,3999.007989,0.451584744,1010.901647
Contracted_NW_Wind,Wind,NW,CAISO,2025,2098.530131,5587.222864,0.303932176,2083.750851
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2020,65,450.776051,0.791668512,65
Tehachapi_Wind,Wind,CAISO,CAISO,2030,449.4,1213.791995,0.308323832,432.0735875
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2030,987.1016468,3999.451871,0.462524234,949.0443919
Central_Valley_North_Los_Banos_Wind,Wind,CAISO,CAISO,2025,127.06,327.9922774,0.29468,126.1651569
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2020,1025.389667,6030.625014,0.671381364,1025.389667
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2025,1075.289667,6386.687486,0.678025593,1067.716744
Tehachapi_Solar,Solar,CAISO,CAISO,2030,2483.6856,7437.823133,0.341857507,2387.928232
Central_Valley_North_Los_Banos_Wind,Wind,CAISO,CAISO,2030,127.06,327.9922774,0.29468,122.1612595
Contracted_NW_Biomass,Biomass,NW,CAISO,2016,26,64.5165,0.283265279,26
Contracted_InState_Solar,Solar,CAISO,CAISO,2030,9471.534328,21511.94543,0.259271777,9106.363632
Contracted_NW_Wind,Wind,NW,CAISO,2020,2308.530131,6223.12236,0.307729185,2308.530131
Contracted_InState_Wind,Wind,CAISO,CAISO,2030,5741.1288,14133.11517,0.281019529,5519.782191
Northern_California_Wind,Wind,CAISO,CAISO,2030,34.9142,88.13357851,0.288161,33.56809891
Northern_California_Wind,Wind,CAISO,CAISO,2025,34.9142,88.13357851,0.288161,34.66831041
Greater_Imperial_Wind,Wind,CAISO,CAISO,2020,317.0987076,997.4023569,0.359063956,317.0987076
