resource,technology,location,contract,period,planned_installed_capacity,energy,capacity factor
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2030,1357.6695500199999,9862.407923522727,0.8292486587429095
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2020,1010.9016467500004,3999.007989473935,0.4515847439987088
Contracted_NW_Wind,Wind,NW,CAISO,2025,2098.53013055,5587.222863855016,0.30393217610844153
Tehachapi_Wind,Wind,CAISO,CAISO,2030,297.36,840.3530255904001,0.3226079858886051
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2030,987.1016467500006,3999.45187115571,0.46252423373371493
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2020,1025.389666667,6030.625013903765,0.6713813639652005
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2025,1075.2896666669997,6386.687486383945,0.6780255930763563
Tehachapi_Solar,Solar,CAISO,CAISO,2030,1635.7255998719997,4923.482675982307,0.34360372021555735
Central_Valley_North_Los_Banos_Wind,Wind,CAISO,CAISO,2030,127.06000000931999,327.992277438,0.29468000000533795
Contracted_NW_Biomass,Biomass,NW,CAISO,2016,26.0,64.5165,0.2832652792413066
Riverside_East_Palm_Springs_Solar,Solar,CAISO,CAISO,2030,117.92000000004,357.61300934519994,0.34619575045177925
Contracted_NW_Wind,Wind,NW,CAISO,2020,2308.53013055,6223.122360130001,0.3077291851226564
Contracted_InState_Wind,Wind,CAISO,CAISO,2030,5741.1288,14133.115170004725,0.2810195290592287
Northern_California_Wind,Wind,CAISO,CAISO,2030,34.914199997880004,88.13357848679999,0.28816100001647704
Greater_Imperial_Wind,Wind,CAISO,CAISO,2020,283.98050671199996,898.489529448,0.3611772479376933
Contracted_SW_Solar,Solar,SW,CAISO,2016,985.0,2065.4146992448564,0.2393684606129449
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2025,65.0,450.776051,0.7916685124692658
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2025,1393.66955002,10127.325526982999,0.8295276228919612
Contracted_NW_Biomass,Biomass,NW,CAISO,2025,26.0,64.51649995,0.2832652790217773
Contracted_InState_Solar,Solar,CAISO,CAISO,2030,9471.534328000005,21511.94543486019,0.2592717767384559
Distributed_Wind,Wind,CAISO,CAISO,2030,18.522,58.508806776,0.3606029333499001
Distributed_Wind,Wind,CAISO,CAISO,2025,10.5,35.09607276,0.38156199999999996
Contracted_SW_Wind,Wind,SW,CAISO,2016,272.412,97.42232786885245,0.040825185030995415
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2025,1010.9016467500004,3999.676805467753,0.4516602695040705
Contracted_InState_Small_Hydro,Hydro,CAISO,CAISO,2016,990.0516467500003,3984.214037126486,0.45938911924735176
Contracted_SW_Wind,Wind,SW,CAISO,2025,272.412,1150.212,0.48200057165626853
Tehachapi_Solar,Solar,CAISO,CAISO,2025,705.390010752,2126.670430003524,0.3441650623511858
Contracted_InState_Geothermal,Geothermal,CAISO,CAISO,2016,1511.3695499999997,10913.967174526744,0.8243428377650992
Contracted_SW_Wind,Wind,SW,CAISO,2030,272.412,1150.212,0.48200057165626853
Contracted_NW_Biomass,Biomass,NW,CAISO,2020,26.0,64.5165,0.2832652792413066
Riverside_East_Palm_Springs_Wind,Wind,CAISO,CAISO,2030,227.6399999748,693.6350652756,0.34783906644653334
Contracted_InState_Wind,Wind,CAISO,CAISO,2025,5691.128800000002,14131.939831674634,0.2834648796917277
Contracted_InState_Wind,Wind,CAISO,CAISO,2016,5598.648799999999,13468.970634138555,0.2746294294005873
Greater_Imperial_Wind,Wind,CAISO,CAISO,2025,283.98050671199996,898.489529448,0.3611772479376933
Contracted_InState_Biomass,Biomass,CAISO,CAISO,2030,1075.2896666670003,6386.619116722016,0.678018334794081
Contracted_SW_Geothermal,Geothermal,SW,CAISO,2016,71.0,546.576051,0.8787961460544086
